image_id,filename,filepath,n_nodes_true,n_edges_true,n_red_nodes_true,n_blue_nodes_true,directed_true,graph_number_for_node_count,node_level,random_seed
graph_001_n01,graph_001_n01.png,png_grafer/graph_001_n01.png,1,0,1,0,False,1,1,43
graph_002_n01,graph_002_n01.png,png_grafer/graph_002_n01.png,1,0,1,0,False,2,1,44
graph_003_n01,graph_003_n01.png,png_grafer/graph_003_n01.png,1,0,0,1,False,3,1,45
graph_004_n01,graph_004_n01.png,png_grafer/graph_004_n01.png,1,0,1,0,False,4,1,46
graph_005_n01,graph_005_n01.png,png_grafer/graph_005_n01.png,1,0,1,0,False,5,1,47
graph_006_n01,graph_006_n01.png,png_grafer/graph_006_n01.png,1,0,1,0,False,6,1,48
graph_007_n01,graph_007_n01.png,png_grafer/graph_007_n01.png,1,0,1,0,False,7,1,49
graph_008_n01,graph_008_n01.png,png_grafer/graph_008_n01.png,1,0,1,0,False,8,1,50
graph_009_n01,graph_009_n01.png,png_grafer/graph_009_n01.png,1,0,0,1,False,9,1,51
graph_010_n01,graph_010_n01.png,png_grafer/graph_010_n01.png,1,0,1,0,False,10,1,52
graph_011_n02,graph_011_n02.png,png_grafer/graph_011_n02.png,2,1,2,0,False,1,2,53
graph_012_n02,graph_012_n02.png,png_grafer/graph_012_n02.png,2,1,1,1,False,2,2,54
graph_013_n02,graph_013_n02.png,png_grafer/graph_013_n02.png,2,1,2,0,False,3,2,55
graph_014_n02,graph_014_n02.png,png_grafer/graph_014_n02.png,2,1,1,1,False,4,2,56
graph_015_n02,graph_015_n02.png,png_grafer/graph_015_n02.png,2,1,2,0,False,5,2,57
graph_016_n02,graph_016_n02.png,png_grafer/graph_016_n02.png,2,1,0,2,False,6,2,58
graph_017_n02,graph_017_n02.png,png_grafer/graph_017_n02.png,2,1,1,1,False,7,2,59
graph_018_n02,graph_018_n02.png,png_grafer/graph_018_n02.png,2,1,0,2,False,8,2,60
graph_019_n02,graph_019_n02.png,png_grafer/graph_019_n02.png,2,1,2,0,False,9,2,61
graph_020_n02,graph_020_n02.png,png_grafer/graph_020_n02.png,2,1,2,0,False,10,2,62
graph_021_n03,graph_021_n03.png,png_grafer/graph_021_n03.png,3,3,1,2,False,1,3,63
