timestamp,image_id,model,task,raw_answer,finish_reason,completion_tokens
2026-06-09T11:43:20+00:00,g0001,google/gemma-4-26b-a4b,nodes,1,stop,2
2026-06-09T11:43:20+00:00,g0001,google/gemma-4-26b-a4b,edges,0,stop,2
2026-06-09T11:43:21+00:00,g0001,google/gemma-4-26b-a4b,directed,Ingen (der er ingen kanter),stop,10
2026-06-09T11:43:21+00:00,g0001,alibaba/qwen-3.6-35b-a3b,nodes,1,stop,2
2026-06-09T11:43:21+00:00,g0001,alibaba/qwen-3.6-35b-a3b,edges,0,stop,2
2026-06-09T11:43:22+00:00,g0001,alibaba/qwen-3.6-35b-a3b,directed,urettet,stop,3
2026-06-09T11:43:22+00:00,g0002,google/gemma-4-26b-a4b,nodes,1,stop,2
2026-06-09T11:43:22+00:00,g0002,google/gemma-4-26b-a4b,edges,0,stop,2
2026-06-09T11:43:22+00:00,g0002,google/gemma-4-26b-a4b,directed,Ingen (der er ingen kanter),stop,10
2026-06-09T11:43:22+00:00,g0002,alibaba/qwen-3.6-35b-a3b,nodes,1,stop,2
2026-06-09T11:43:22+00:00,g0002,alibaba/qwen-3.6-35b-a3b,edges,0,stop,2
2026-06-09T11:43:22+00:00,g0002,alibaba/qwen-3.6-35b-a3b,directed,urettet,stop,3
2026-06-09T11:43:22+00:00,g0003,google/gemma-4-26b-a4b,nodes,1,stop,2
2026-06-09T11:43:22+00:00,g0003,google/gemma-4-26b-a4b,edges,0,stop,2
2026-06-09T11:43:22+00:00,g0003,google/gemma-4-26b-a4b,directed,Ingen (der er ingen kanter),stop,10
2026-06-09T11:43:22+00:00,g0003,alibaba/qwen-3.6-35b-a3b,nodes,1,stop,2
2026-06-09T11:43:22+00:00,g0003,alibaba/qwen-3.6-35b-a3b,edges,0,stop,2
2026-06-09T11:43:22+00:00,g0003,alibaba/qwen-3.6-35b-a3b,directed,urettet,stop,3
2026-06-09T11:43:22+00:00,g0004,google/gemma-4-26b-a4b,nodes,1,stop,2
2026-06-09T11:43:22+00:00,g0004,google/gemma-4-26b-a4b,edges,0,stop,2
2026-06-09T11:43:22+00:00,g0004,google/gemma-4-26b-a4b,directed,Ingen (der er ingen kanter),stop,10
2026-06-09T11:43:22+00:00,g0004,alibaba/qwen-3.6-35b-a3b,nodes,1,stop,2
2026-06-09T11:43:22+00:00,g0004,alibaba/qwen-3.6-35b-a3b,edges,0,stop,2
2026-06-09T11:43:22+00:00,g0004,alibaba/qwen-3.6-35b-a3b,directed,urettet,stop,3
2026-06-09T11:43:22+00:00,g0005,google/gemma-4-26b-a4b,nodes,1,stop,2
2026-06-09T11:43:22+00:00,g0005,google/gemma-4-26b-a4b,edges,0,stop,2
2026-06-09T11:43:22+00:00,g0005,google/gemma-4-26b-a4b,directed,Ingen (der er ingen kanter),stop,10
2026-06-09T11:43:22+00:00,g0005,alibaba/qwen-3.6-35b-a3b,nodes,1,stop,2
2026-06-09T11:43:22+00:00,g0005,alibaba/qwen-3.6-35b-a3b,edges,0,stop,2
2026-06-09T11:43:22+00:00,g0005,alibaba/qwen-3.6-35b-a3b,directed,urettet,stop,3
2026-06-09T11:44:22+00:00,g0006,google/gemma-4-26b-a4b,nodes,1,stop,2
2026-06-09T11:44:22+00:00,g0006,google/gemma-4-26b-a4b,edges,0,stop,2
